City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
8,Geraldton,AU,clear sky,86.0,-28.7667,114.6,Broadwater Mariner Resort
14,Nikki,BJ,broken clouds,80.02,9.9401,3.2108,Hotel John
18,Vaini,TO,scattered clouds,77.0,-21.2,-175.2,Keleti Beach Resort
22,Lorengau,PG,overcast clouds,83.05,-2.0226,147.2712,Lorengau Harbourside Hotel
24,Port Blair,IN,few clouds,87.8,11.6667,92.75,Welcomhotel Bay Island Port Blair
27,Alofi,NU,broken clouds,78.8,-19.0595,-169.9187,Taloa Heights
31,Puerto Ayora,EC,overcast clouds,75.0,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Jijiga,ET,overcast clouds,75.18,9.35,42.8,RAMAAS HOTEL
43,Kintampo,GH,overcast clouds,75.54,8.0563,-1.7306,Adomaa Memorial Hotel
47,Hilo,US,overcast clouds,75.2,19.7297,-155.09,Hilo Hawaiian Hotel
61,Avarua,CK,light rain,75.2,-21.2078,-159.775,Paradise Inn
65,Acapulco,MX,clear sky,75.96,16.8634,-99.8901,HS Hotsson Smart Acapulco
73,Atambua,ID,broken clouds,78.48,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
78,Lahad Datu,MY,overcast clouds,85.28,5.0268,118.32700000000001,The 27th House
84,Rikitea,PF,light rain,76.57,-23.1203,-134.9692,Pension Maro'i
92,Kavieng,PG,overcast clouds,83.43,-2.5744,150.7967,Nusa Island Retreat
93,Iracoubo,GF,moderate rain,76.06,5.4802,-53.2011,Le Gite D Iracoubo
96,Atuona,PF,light rain,80.71,-9.8,-139.0333,Villa Enata
100,Amahai,ID,light rain,82.27,-3.3333,128.9167,HOTEL ISABELA
101,Morondava,MG,overcast clouds,81.93,-20.2833,44.2833,La Case Bambou
104,Najran,SA,clear sky,82.4,17.4924,44.1277,محمد هادي ال فطيح
105,Kieta,PG,light rain,82.72,-6.2167,155.6333,Uruna Bay Retreat
108,Georgetown,MY,few clouds,89.6,5.4112,100.3354,Cititel Penang
109,Salalah,OM,clear sky,86.0,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
110,Korla,CN,overcast clouds,75.83,41.7597,86.1469,Gulisitan Hotel
114,Puerto Escondido,MX,overcast clouds,78.57,15.85,-97.0667,Aldea del Bazar Hotel and Spa
117,Manakara,MG,broken clouds,77.58,-22.1333,48.0167,La Residence Manakara
127,Saint-Philippe,RE,light rain,78.8,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
129,Mahebourg,MU,light rain,82.4,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
130,Bambous Virieux,MU,light rain,82.4,-20.3428,57.7575,Casa Tia Villa
131,Poum,NC,scattered clouds,78.37,-20.2333,164.0167,Gîte kajeon
133,Luganville,VU,overcast clouds,81.23,-15.5333,167.1667,The Espiritu Hotel
134,San Ignacio,BZ,broken clouds,77.0,17.1561,-89.0714,Rainforest Haven Inn
136,Denpasar,ID,scattered clouds,86.0,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
141,Kalmunai,LK,broken clouds,88.54,7.4167,81.8167,VS Villa
142,Kroya,ID,clear sky,86.32,-7.6331,109.2461,RUSTANTO Fam
145,Makasar,ID,few clouds,87.8,-5.14,119.4221,Hotel Horison Ultima Makassar
146,Cap Malheureux,MU,overcast clouds,81.0,-19.9842,57.6142,Pereybere Hotel & Spa
149,Sokolo,ML,broken clouds,85.1,14.7328,-6.1219,
151,Victoria,HK,few clouds,80.6,22.2855,114.1577,Mini Hotel Central
154,Madimba,TZ,few clouds,77.0,-10.4,40.3333,
156,Morant Bay,JM,few clouds,78.8,17.8815,-76.4093,Whispering Bamboo Cove Resort
160,Carnarvon,AU,overcast clouds,86.0,-24.8667,113.6333,Hospitality Carnarvon
169,Grand Gaube,MU,overcast clouds,81.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
171,Asbe Teferi,ET,overcast clouds,75.52,9.0833,40.8667,Megenagna hotel
172,Butaritari,KI,light rain,82.69,3.0707,172.7902,Isles Sunset Lodge
