City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hasaki,35.7333,140.8333,73.0,clear sky,45,0,12.66,JP,2021-04-21 06:37:45
1,Hovd,48.0056,91.6419,39.11,broken clouds,50,80,11.7,MN,2021-04-21 06:37:46
2,Bangolo,7.0069,-7.475,72.55,moderate rain,99,100,0.87,CI,2021-04-21 06:37:46
3,Qaanaaq,77.484,-69.3632,0.86,overcast clouds,75,100,10.31,GL,2021-04-21 06:37:46
4,Srednekolymsk,67.45,153.6833,36.25,few clouds,91,16,10.94,RU,2021-04-21 06:37:47
5,Dalvik,65.9702,-18.5286,39.2,overcast clouds,60,90,9.22,IS,2021-04-21 06:37:47
6,Hueytamalco,19.95,-97.2667,64.89,overcast clouds,96,100,0.85,MX,2021-04-21 06:37:48
7,Abu Samrah,35.3029,37.1841,72.23,few clouds,26,16,10.36,SY,2021-04-21 06:37:48
8,Geraldton,-28.7667,114.6,86.0,clear sky,19,3,11.5,AU,2021-04-21 06:34:02
9,Bredasdorp,-34.5322,20.0403,59.0,overcast clouds,94,100,2.3,ZA,2021-04-21 06:37:49
10,Cidreira,-30.1811,-50.2056,69.91,scattered clouds,76,44,16.82,BR,2021-04-21 06:37:49
11,Thompson,55.7435,-97.8558,24.8,clear sky,93,1,2.3,CA,2021-04-21 06:36:54
12,Vitim,59.4511,112.5578,27.43,light snow,72,100,10.22,RU,2021-04-21 06:37:50
13,Punta Arenas,-53.15,-70.9167,33.8,clear sky,75,0,5.75,CL,2021-04-21 06:37:50
14,Nikki,9.9401,3.2108,80.02,broken clouds,70,74,10.25,BJ,2021-04-21 06:37:50
15,Northam,51.0333,-4.2167,48.99,broken clouds,91,80,7.36,GB,2021-04-21 06:37:51
16,Ancud,-41.8697,-73.8203,46.4,fog,100,90,4.61,CL,2021-04-21 06:37:51
17,Pevek,69.7008,170.3133,29.66,clear sky,71,0,19.26,RU,2021-04-21 06:37:52
18,Vaini,-21.2,-175.2,77.0,scattered clouds,94,40,2.3,TO,2021-04-21 06:37:52
19,Bluff,-46.6,168.3333,48.0,overcast clouds,95,100,7.0,NZ,2021-04-21 06:37:53
20,Codrington,-38.2667,141.9667,53.92,overcast clouds,61,100,14.58,AU,2021-04-21 06:37:53
21,Jamestown,42.097,-79.2353,33.01,light snow,93,90,11.5,US,2021-04-21 06:37:53
22,Lorengau,-2.0226,147.2712,83.05,overcast clouds,80,100,10.45,PG,2021-04-21 06:37:54
23,Nurota,40.5614,65.6886,59.0,clear sky,47,0,13.8,UZ,2021-04-21 06:37:54
24,Port Blair,11.6667,92.75,87.8,few clouds,66,20,4.61,IN,2021-04-21 06:37:54
25,Nikolskoye,59.7035,30.7861,44.01,overcast clouds,65,100,11.18,RU,2021-04-21 06:37:55
26,Nuuk,64.1835,-51.7216,30.2,few clouds,93,20,16.11,GL,2021-04-21 06:37:55
27,Alofi,-19.0595,-169.9187,78.8,broken clouds,94,55,3.44,NU,2021-04-21 06:37:56
28,Cherskiy,68.75,161.3,36.5,overcast clouds,75,97,23.2,RU,2021-04-21 06:37:56
29,San Patricio,28.017,-97.5169,63.0,broken clouds,82,75,11.5,US,2021-04-21 06:37:56
30,Klaksvik,62.2266,-6.589,37.4,broken clouds,81,75,2.3,FO,2021-04-21 06:37:57
