City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.3333,52.0,88,100,14.0,NZ,2021-04-17 19:47:41
1,Georgetown,5.4112,100.3354,80.6,89,20,3.44,MY,2021-04-17 19:44:23
2,Imbituba,-28.24,-48.6703,75.2,69,75,8.05,BR,2021-04-17 19:47:42
3,Ushuaia,-54.8,-68.3,60.8,44,40,12.66,AR,2021-04-17 19:47:21
4,Phan Thiet,10.9333,108.1,76.64,78,56,3.62,VN,2021-04-17 19:47:42
5,Atuona,-9.8,-139.0333,80.31,76,32,18.88,PF,2021-04-17 19:47:23
6,Verkhoshizhemye,58.011,49.1038,34.88,89,6,3.91,RU,2021-04-17 19:47:43
7,Punta Arenas,-53.15,-70.9167,55.4,50,75,9.22,CL,2021-04-17 19:47:43
8,Kapaa,22.0752,-159.319,71.01,88,90,10.36,US,2021-04-17 19:47:21
9,Mataura,-46.1927,168.8643,52.0,88,100,14.0,NZ,2021-04-17 19:47:44
10,Clyde River,70.4692,-68.5914,8.6,78,75,13.8,CA,2021-04-17 19:47:45
11,Yulara,-25.2406,130.9889,55.4,54,0,6.91,AU,2021-04-17 19:47:45
12,Qaanaaq,77.484,-69.3632,-0.99,90,100,1.16,GL,2021-04-17 19:47:46
13,Castro,-24.7911,-50.0119,65.44,87,85,3.24,BR,2021-04-17 19:47:46
14,Eufaula,31.8913,-85.1455,75.2,50,40,3.44,US,2021-04-17 19:47:47
15,Avarua,-21.2078,-159.775,82.4,69,11,4.61,CK,2021-04-17 19:47:47
16,Arraial Do Cabo,-22.9661,-42.0278,78.8,78,40,14.97,BR,2021-04-17 19:47:47
17,Tacna,-18.0056,-70.2483,73.4,56,0,10.36,PE,2021-04-17 19:47:48
18,Cape Town,-33.9258,18.4232,66.0,82,0,2.3,ZA,2021-04-17 19:44:39
19,Ponta Do Sol,32.6667,-17.1,61.0,63,98,1.99,PT,2021-04-17 19:47:49
20,Hobart,-42.8794,147.3294,54.0,66,40,12.66,AU,2021-04-17 19:47:45
21,Dunedin,-45.8742,170.5036,53.01,71,100,3.0,NZ,2021-04-17 19:47:49
22,Vaini,-21.2,-175.2,69.8,88,20,4.61,TO,2021-04-17 19:47:50
23,Jamestown,42.097,-79.2353,50.0,70,90,6.91,US,2021-04-17 19:47:50
24,Rikitea,-23.1203,-134.9692,77.16,68,100,8.95,PF,2021-04-17 19:47:50
25,Aasiaat,68.7098,-52.8699,11.34,73,100,9.08,GL,2021-04-17 19:47:51
26,Bilibino,68.0546,166.4372,7.48,94,59,2.37,RU,2021-04-17 19:47:51
27,Cabedelo,-6.9811,-34.8339,75.2,100,75,9.22,BR,2021-04-17 19:47:52
28,Hasaki,35.7333,140.8333,59.0,94,75,4.61,JP,2021-04-17 19:47:53
29,Sambava,-14.2667,50.1667,77.25,85,100,1.86,MG,2021-04-17 19:47:53
30,Fortuna,40.5982,-124.1573,55.99,87,20,13.8,US,2021-04-17 19:47:53
31,Zhigansk,66.7697,123.3711,12.51,95,100,8.05,RU,2021-04-17 19:47:54
32,Chokurdakh,70.6333,147.9167,7.03,93,100,4.72,RU,2021-04-17 19:47:54
33,Albany,42.6001,-73.9662,51.01,55,100,6.89,US,2021-04-17 19:43:50
34,Venice,27.0998,-82.4543,82.0,78,1,11.5,US,2021-04-17 19:47:55
35,Hilo,19.7297,-155.09,80.6,54,20,5.75,US,2021-04-17 19:47:24
36,Yar-Sale,66.8333,70.8333,-10.28,99,71,8.77,RU,2021-04-17 19:47:55
37,Mbandaka,0.0487,18.2603,76.91,74,89,2.84,CD,2021-04-17 19:47:56
38,Busselton,-33.65,115.3333,54.0,85,0,8.84,AU,2021-04-17 19:47:20
39,Bang Lamung,13.047,100.9289,86.0,99,10,6.71,TH,2021-04-17 19:47:56
40,Namibe,-15.1961,12.1522,80.78,73,0,6.69,AO,2021-04-17 19:47:57
41,Tiksi,71.6872,128.8694,4.51,96,100,10.94,RU,2021-04-17 19:47:57
42,Pevek,69.7008,170.3133,17.89,96,93,8.7,RU,2021-04-17 19:47:57
43,Carnarvon,-24.8667,113.6333,76.33,69,0,5.99,AU,2021-04-17 19:47:58
44,Oranjestad,12.524,-70.027,86.0,66,20,24.16,AW,2021-04-17 19:43:26
45,Darnah,32.767,22.6367,70.9,58,100,7.36,LY,2021-04-17 19:47:58
46,Moyale,3.5167,39.0584,69.13,81,66,3.4,KE,2021-04-17 19:47:59
47,Lebu,-37.6167,-73.65,60.12,74,58,6.62,CL,2021-04-17 19:47:32
48,Thompson,55.7435,-97.8558,33.8,64,90,12.66,CA,2021-04-17 19:47:59
49,Fort Nelson,58.8053,-122.7002,39.2,87,90,11.5,CA,2021-04-17 19:48:00
50,Kavali,14.9167,79.9833,78.89,82,0,8.08,IN,2021-04-17 19:48:00
51,Torbay,47.6666,-52.7314,39.99,81,90,20.71,CA,2021-04-17 19:48:01
52,Victoria,22.2855,114.1577,73.99,74,98,3.0,HK,2021-04-17 19:45:16
53,Esperance,-33.8667,121.9,55.4,88,0,11.5,AU,2021-04-17 19:48:01
54,Northam,51.0333,-4.2167,46.0,78,100,1.01,GB,2021-04-17 19:48:02
55,Hermanus,-34.4187,19.2345,66.0,61,0,5.55,ZA,2021-04-17 19:47:51
56,Nan,18.8333,100.6667,72.32,93,100,0.85,TH,2021-04-17 19:48:02
57,Saldanha,-33.0117,17.9442,68.0,34,0,3.44,ZA,2021-04-17 19:48:01
58,Ariquemes,-9.9133,-63.0408,80.49,92,100,1.7,BR,2021-04-17 19:48:03
59,Lakatoro,-16.0999,167.4164,80.51,79,39,6.82,VU,2021-04-17 19:48:03
60,Bijie,27.3125,105.2942,51.93,95,100,1.99,CN,2021-04-17 19:48:04
61,Narsaq,60.9167,-46.05,28.4,26,1,5.75,GL,2021-04-17 19:48:04
62,Tuatapere,-46.1333,167.6833,52.0,88,93,14.0,NZ,2021-04-17 19:48:05
63,Butaritari,3.0707,172.7902,82.22,75,100,6.89,KI,2021-04-17 19:48:05
64,Mount Gambier,-37.8333,140.7667,51.8,100,90,6.91,AU,2021-04-17 19:47:46
65,Kinablangan,7.6947,126.5503,79.83,74,100,4.63,PH,2021-04-17 19:48:05
66,Nouakchott,18.0858,-15.9785,77.0,50,0,19.57,MR,2021-04-17 19:43:41
67,Cabo San Lucas,22.8909,-109.9124,82.99,32,1,6.91,MX,2021-04-17 19:48:06
68,San-Pedro,4.7485,-6.6363,78.3,85,100,4.68,CI,2021-04-17 19:47:17
69,Port-Cartier,50.0334,-66.8654,39.2,60,75,14.97,CA,2021-04-17 19:48:07
70,Chuy,-33.6971,-53.4616,69.48,75,2,7.25,UY,2021-04-17 19:48:07
71,Ternate,0.8,127.4,80.42,81,95,7.47,ID,2021-04-17 19:48:07
72,Sitka,57.0531,-135.33,48.2,66,40,1.97,US,2021-04-17 19:48:08
73,Hamilton,39.1834,-84.5333,55.0,71,90,12.66,US,2021-04-17 19:48:08
74,Nikolskoye,59.7035,30.7861,48.2,34,0,8.95,RU,2021-04-17 19:48:09
75,Sao Joao Da Barra,-21.6403,-41.0511,78.8,73,40,13.8,BR,2021-04-17 19:48:09
76,Bambous Virieux,-20.3428,57.7575,78.01,94,75,5.03,MU,2021-04-17 19:48:09
77,Khandyga,62.6667,135.6,23.22,90,100,6.87,RU,2021-04-17 19:48:10
78,Iqaluit,63.7506,-68.5145,19.4,58,40,5.75,CA,2021-04-17 19:48:10
79,Talnakh,69.4865,88.3972,-22.59,95,71,2.77,RU,2021-04-17 19:48:11
80,Yellowknife,62.456,-114.3525,36.0,60,75,2.3,CA,2021-04-17 19:45:09
81,Severo-Kurilsk,50.6789,156.125,36.5,71,100,5.57,RU,2021-04-17 19:48:11
82,Tasiilaq,65.6145,-37.6368,26.6,86,75,3.58,GL,2021-04-17 19:47:33
83,Mar Del Plata,-38.0023,-57.5575,69.8,83,0,11.5,AR,2021-04-17 19:47:38
84,Labrea,-7.2586,-64.7981,80.2,91,100,0.74,BR,2021-04-17 19:48:12
85,Hithadhoo,-0.6,73.0833,82.27,62,9,5.97,MV,2021-04-17 19:48:13
86,Lapua,62.9693,23.0088,43.0,68,10,3.65,FI,2021-04-17 19:48:13
87,Monrovia,6.3005,-10.7969,80.6,83,75,4.32,LR,2021-04-17 19:48:13
